Date,RM,RMF,Sec. cla fan,Raw mill-Aux,Total,Day,Month,Year,AVERAGE,CM,CMF,Coal mill-Aux,Total,Day,Month,Year,AVERAGE,IDF,BHF,MD,Cooler fans Clinker Tr.,Kiln-1-Aux,Total,DAY,MONTH,YEAR,AVERAGE,ZM,ZMF,Cement Mill-1-Aux,Total,DAY,MONTH,YEAR,AVERAGE
01-04-2021,0,0,0,0,0,1,4,2021,0,0,0,0,0,0,1,1900,0,0,0,0,0,0,0,0,1,1900,0,2388,768,506,3662,0,1,1900,915.5
02-04-2021,0,0,0,0,0,2,4,2021,0,0,0,0,0,0,1,1900,0,0,0,0,0,0,0,0,1,1900,0,2397,764,458,3619,0,1,1900,904.75
03-04-2021,0,0,0,0,0,3,4,2021,0,0,0,0,0,0,1,1900,0,0,0,0,0,0,0,0,1,1900,0,2487,737,530,3754,0,1,1900,938.5
04-04-2021,0,0,0,0,0,4,4,2021,0,0,0,0,0,0,1,1900,0,0,0,0,0,0,0,0,1,1900,0,2486,756,487,3729,0,1,1900,932.25
05-04-2021,0,0,0,0,0,5,4,2021,0,0,0,0,0,0,1,1900,0,0,0,0,0,0,0,0,1,1900,0,2548,730,513,3791,0,1,1900,947.75
06-04-2021,0,0,0,0,0,6,4,2021,0,0,0,0,0,0,1,1900,0,0,0,0,0,0,0,0,1,1900,0,2448,731,475,3654,0,1,1900,913.5
07-04-2021,0,0,0,0,0,7,4,2021,0,0,0,0,0,0,1,1900,0,0,0,0,0,0,0,0,1,1900,0,0,0,0,0,0,1,1900,0
08-04-2021,0,0,0,0,0,8,4,2021,0,0,0,0,0,0,1,1900,0,0,0,0,0,0,0,0,1,1900,0,0,0,0,0,0,1,1900,0
09-04-2021,0,0,0,0,0,9,4,2021,0,0,0,0,0,0,1,1900,0,0,0,0,0,0,0,0,1,1900,0,2403,755,436,3594,0,1,1900,898.5
10-04-2021,0,0,0,0,0,10,4,2021,0,0,0,0,0,0,1,1900,0,0,0,0,0,0,0,0,1,1900,0,2442,731,427,3600,0,1,1900,900
11-04-2021,0,0,0,0,0,11,4,2021,0,0,0,0,0,0,1,1900,0,0,0,0,0,0,0,0,1,1900,0,2454,735,425,3614,0,1,1900,903.5
12-04-2021,0,0,0,0,0,12,4,2021,0,0,0,0,0,0,1,1900,0,0,0,0,0,0,0,0,1,1900,0,0,0,0,0,0,1,1900,0
